iter	Logloss
0	0.6805742212
1	0.6691048423
2	0.6603030882
3	0.652079072
4	0.6443316839
5	0.6357196503
6	0.6262788538
7	0.6179027305
8	0.6086441934
9	0.6021626983
10	0.5963047078
11	0.5894081197
12	0.581640002
13	0.5753500733
14	0.5701004346
15	0.5621043291
16	0.5548007246
17	0.5484127629
18	0.5429911719
19	0.5368858871
20	0.5313925307
21	0.5278457997
22	0.5236574496
23	0.5191682312
24	0.514219653
25	0.5100868384
26	0.50522764
27	0.5020685803
28	0.4986212285
29	0.4952871014
30	0.4922414971
31	0.4891870471
32	0.4860296027
33	0.483363324
34	0.4790339431
35	0.4766256504
36	0.4721801989
37	0.4690149857
38	0.4671150885
39	0.4624973001
40	0.4598515973
41	0.4561065308
42	0.452323428
43	0.4483041841
44	0.4463965182
45	0.4437138943
46	0.4416015471
47	0.4396980348
48	0.4372692048
49	0.432842483
50	0.4307042526
51	0.4287382437
52	0.4261927277
53	0.4218478476
54	0.4188726241
55	0.4157882527
56	0.4133569228
57	0.4119053091
58	0.4098505742
59	0.4085209539
60	0.4069773837
61	0.4046894307
62	0.4016829396
63	0.4000784881
64	0.3981222863
65	0.3960523599
66	0.3922771028
67	0.3897960449
68	0.3884841544
69	0.3867428256
70	0.3840508945
71	0.3826328943
72	0.3808183772
73	0.3778784595
74	0.3759239115
75	0.37390679
76	0.3726235902
77	0.3699103141
78	0.3677469697
79	0.3652616812
80	0.3641178585
81	0.3627458944
82	0.3614266581
83	0.3604214818
84	0.3591775492
85	0.3581160682
86	0.3568101389
87	0.355631895
88	0.3541726663
89	0.3524080696
90	0.3505996291
91	0.3488732226
92	0.347973579
93	0.3445538026
94	0.3434789762
95	0.3426946725
96	0.3411569866
97	0.3399777043
98	0.3376194858
99	0.3357509716
100	0.3348499435
101	0.3341478277
102	0.3331273445
103	0.3313627862
104	0.3304277984
105	0.3289949529
106	0.3267308447
107	0.3258267398
108	0.3249393264
109	0.3239063823
110	0.3230710429
111	0.3220078697
112	0.3210643439
113	0.3202079672
114	0.3192768253
115	0.3186422443
116	0.3179800494
117	0.3171985148
118	0.3162300288
119	0.3150076719
120	0.3137126843
121	0.3121597877
122	0.3114126166
123	0.3092615215
124	0.3078782118
125	0.3064554043
126	0.3056940993
127	0.3050025022
128	0.3042107566
129	0.3033792824
130	0.3022877261
131	0.3014770969
132	0.3009678168
133	0.3002620666
134	0.2989701942
135	0.2982976537
136	0.2974669295
137	0.2969273241
138	0.2954602305
139	0.2942126249
140	0.2934578004
141	0.292368321
142	0.2912078454
143	0.2905708029
144	0.2893457347
145	0.2888168595
146	0.2882459288
147	0.2875612159
148	0.2869246735
149	0.2862527099
150	0.285337471
151	0.2847731554
152	0.283969545
153	0.282971676
154	0.2819115603
155	0.2810118783
156	0.280421391
157	0.2798895929
158	0.2791820158
159	0.278514725
160	0.2778764904
161	0.2770346129
162	0.2763953014
163	0.2759192502
164	0.2753055142
165	0.2749208812
166	0.2741824789
167	0.273385849
168	0.2729687946
169	0.2725731622
170	0.2715663513
171	0.27051187
172	0.269779275
173	0.2689782992
174	0.2682191095
175	0.267522128
176	0.2671804735
177	0.2667577656
178	0.2663774593
179	0.2657788378
180	0.2652786534
181	0.264967151
182	0.2643614723
183	0.2639886655
184	0.2634857505
185	0.2628201519
186	0.2623077181
187	0.2615217799
188	0.2610740541
189	0.2602297537
190	0.2594163747
191	0.2589754947
192	0.2582647447
193	0.2579937786
194	0.2573955226
195	0.2569734108
196	0.2563340416
197	0.2557948785
198	0.2552913096
199	0.2545910591
200	0.2538184086
201	0.2533962968
202	0.2529311297
203	0.2521372496
204	0.2516795821
205	0.2508187057
206	0.2501701062
207	0.2496901899
208	0.2493643037
209	0.2487212616
210	0.2479977238
211	0.2476276285
212	0.2469550687
213	0.2465712241
214	0.2457767672
215	0.2452687947
216	0.2449212366
217	0.2444897215
218	0.2441452401
219	0.2437035717
220	0.2434134144
221	0.2429151529
222	0.2424637543
223	0.2421311569
224	0.2415616877
225	0.2406777741
226	0.2400191559
227	0.2394896461
228	0.2388384698
229	0.2383592842
230	0.2379840161
231	0.237581211
232	0.2371769636
233	0.2368634037
234	0.2364066592
235	0.2358565352
236	0.2353899835
237	0.2348347059
238	0.2343185992
239	0.2338051078
240	0.2333364024
241	0.233030342
242	0.2327252432
243	0.232420952
244	0.2319039607
245	0.2316451478
246	0.2313807775
247	0.2306991029
248	0.2302380125
249	0.2300750406
250	0.2295359544
251	0.2290296164
252	0.2284081308
253	0.2278515456
254	0.2275746567
255	0.2271512181
256	0.2266073822
257	0.2262259413
258	0.2259101315
259	0.2253902942
260	0.2249220504
261	0.2244949581
262	0.2241004026
263	0.2237840351
264	0.2234526299
265	0.2232200272
266	0.2227274769
267	0.222332806
268	0.2219397119
269	0.2215605401
270	0.2212557489
271	0.2210058201
272	0.2206555314
273	0.2203894497
274	0.2199502042
275	0.2197119094
276	0.2191560742
277	0.2189937945
278	0.21831037
279	0.2180469035
280	0.2175878322
281	0.217206699
282	0.2169388096
283	0.2165366583
284	0.2160729142
285	0.215898539
286	0.2156236116
287	0.2153623758
288	0.215052931
289	0.2147809457
290	0.2145026339
291	0.2142432825
292	0.2138409389
293	0.2135384361
294	0.2131327465
295	0.2127216726
296	0.2124162853
297	0.2118759492
298	0.2114413958
299	0.2108433897
300	0.2104837746
301	0.210086623
302	0.2097198929
303	0.2094977126
304	0.2091911715
305	0.2089447618
306	0.2084850943
307	0.2081561699
308	0.2078943186
309	0.2076318521
310	0.2073392333
311	0.2069522927
312	0.2063996304
313	0.206117261
314	0.2057658185
315	0.2055018136
316	0.2051570438
317	0.2048382534
318	0.2046633782
319	0.204231767
320	0.2039519744
321	0.2036448565
322	0.2032811069
323	0.2031841122
324	0.2029057042
325	0.2026405262
326	0.2025103602
327	0.2021300154
328	0.2019014124
329	0.2015934291
330	0.2012549474
331	0.2009652323
332	0.2005767149
333	0.2003579575
334	0.2001294315
335	0.1999293654
336	0.1996179592
337	0.1992749008
338	0.1991770407
339	0.1988106183
340	0.1986027449
341	0.1983083955
342	0.1981301551
343	0.1976906789
344	0.1974402694
345	0.1970460407
346	0.1966152756
347	0.1962397959
348	0.1959323895
349	0.1955005475
350	0.1952334081
351	0.1949599422
352	0.1946838033
353	0.1943160924
354	0.193945574
355	0.1935916893
356	0.1933559521
357	0.1929608773
358	0.192588186
359	0.1923114318
360	0.1919396057
361	0.1916167386
362	0.1912516238
363	0.1910319241
364	0.1907950523
365	0.1903431345
366	0.1900220173
367	0.189734879
368	0.1895376781
369	0.1890544543
370	0.1887996219
371	0.188495023
372	0.1882526131
373	0.1880732959
374	0.1878202711
375	0.1874460029
376	0.1870406018
377	0.186871111
378	0.1866770253
379	0.1862601056
380	0.185992274
381	0.1856002567
382	0.1853009268
383	0.1849367927
384	0.1846666534
385	0.1844995663
386	0.1841481815
387	0.1838061423
388	0.1835562905
389	0.1832027327
390	0.183094777
391	0.1828262146
392	0.1825804972
393	0.1822858977
394	0.1820399303
395	0.1818078083
396	0.1815378806
397	0.1812144942
398	0.1808797816
399	0.1804936294
400	0.180338734
401	0.1800379618
402	0.1797065374
403	0.1794538396
404	0.1792081413
405	0.1789218876
406	0.178628442
407	0.178270096
408	0.1779651702
409	0.1778075249
410	0.1775434238
411	0.1773454922
412	0.1771337729
413	0.1768436155
414	0.1766618177
415	0.1763562381
416	0.1761105399
417	0.175862361
418	0.1756969661
419	0.175555493
420	0.1753153714
421	0.1748188983
422	0.1745448554
423	0.1744447839
424	0.1742371413
425	0.1739498299
426	0.1737064585
427	0.1732028127
428	0.1728199488
429	0.1726311129
430	0.1723484744
431	0.1721024108
432	0.1719434578
433	0.1717670251
434	0.1716008995
435	0.1711979405
436	0.1710021819
437	0.1706176642
438	0.1703560438
439	0.1699938903
440	0.1697206744
441	0.1694609577
442	0.1691907992
443	0.1690080014
444	0.1686930954
445	0.1685102207
446	0.1682803677
447	0.168074975
448	0.1678183735
449	0.1675269278
450	0.1673923966
451	0.1672522119
452	0.1671044699
453	0.1669269603
454	0.1667651998
455	0.1665193285
456	0.1662937253
457	0.1659707428
458	0.165772792
459	0.1655145175
460	0.1653201819
461	0.1650586576
462	0.1648327852
463	0.1645890869
464	0.1643532343
465	0.1641959159
466	0.1638405889
467	0.1635939485
468	0.1634988959
469	0.1632848306
470	0.1630809185
471	0.1628056834
472	0.1625862146
473	0.1624056282
474	0.1620786844
475	0.1618320631
476	0.161671091
477	0.1614191816
478	0.1610380676
479	0.1607497371
480	0.1605589782
481	0.1603630465
482	0.1600522364
483	0.1598829186
484	0.159627644
485	0.1594790271
486	0.1591830527
487	0.159062165
488	0.1587973428
489	0.1584643224
490	0.1583153978
491	0.1580297209
492	0.157808281
493	0.1575762166
494	0.1574280131
495	0.1572108903
496	0.1569549234
497	0.1566884186
498	0.1564106355
499	0.1562435196
500	0.1560879895
501	0.1559026919
502	0.1557031065
503	0.15544114
504	0.1553415492
505	0.1551358776
506	0.1549097072
507	0.1546408948
508	0.1543939274
509	0.1541881501
